indication,state,fhdi_drug_id
constipation icd11 dd911,approved,d00001
inborn error of metabolism icd11 5c505c59,approved,d00002
smoking dependence icd11 6c4a2,approved,d00006
bleeding disorder icd11 ga20ga21,approved,d00007
postoperative hemorrhage icd11 ne810z,approved,d00007
infestations of lice and scabies icd11 1g00z,approved,d00008
insomnia icd11 7a007a0z,approved,d00010
venous thrombosis icd11 ba43,approved,d00009
deep vein thrombosis icd11 bd71,approved,d00009
thrombosis icd11 db61gb90,phase 3,d00009
venous thromboembolism icd11 bd72,phase 3,d00009
venous thrombosis icd11 ba43,approved,d01359
deep vein thrombosis icd11 bd71,approved,d01359
thrombosis icd11 db61gb90,phase 3,d01359
venous thromboembolism icd11 bd72,phase 3,d01359
venous thrombosis icd11 ba43,approved,d01360
deep vein thrombosis icd11 bd71,approved,d01360
thrombosis icd11 db61gb90,phase 3,d01360
venous thromboembolism icd11 bd72,phase 3,d01360
venous thrombosis icd11 ba43,approved,d01361
deep vein thrombosis icd11 bd71,approved,d01361
thrombosis icd11 db61gb90,phase 3,d01361
venous thromboembolism icd11 bd72,phase 3,d01361
venous thrombosis icd11 ba43,approved,d01362
deep vein thrombosis icd11 bd71,approved,d01362
thrombosis icd11 db61gb90,phase 3,d01362
venous thromboembolism icd11 bd72,phase 3,d01362
venous thrombosis icd11 ba43,approved,d01363
deep vein thrombosis icd11 bd71,approved,d01363
thrombosis icd11 db61gb90,phase 3,d01363
venous thromboembolism icd11 bd72,phase 3,d01363
mycobacterium infection icd11 1b101b21,approved,d00012
virus infection icd11 1a241d9z,phase 2,d00014
multiple sclerosis icd11 8a40,approved,d00015
epilepsy icd11 8a608a68,approved,d00016
alzheimer disease icd11 8a20,approved,d00017
hypertension icd11 ba00ba04,approved,d00018
pain icd11 mg30mg3z,approved,d00019
glaucomaocular hypertension icd11 9c61,approved,d00020
diabetic complication icd11 5a2y,approved,d00021
urinary tract infection icd11 gc08,approved,d00022
worm infection icd11 1f90z,approved,d00023
benign prostatic hyperplasia icd11 ga90,approved,d00025
irritable bowel syndrome icd11 dd910,approved,d00026
anxiety disorder icd11 6b006b0z,approved,d00027
epilepsy icd11 8a608a68,phase 2,d00027
ovarian cancer icd11 2c73,approved,d00028
influenza a virus infection icd11 1e30,approved,d00029
myasthenia gravis icd11 8c6y,approved,d00030
cushing disease icd11 5a70,approved,d00031
chronic obstructive pulmonary disease icd11 ca22,approved,d00032
tachyarrhythmias icd11 bc71,approved,d00033
schizophrenia icd11 6a20,approved,d00034
depression icd11 6a706a7z,approved,d00035
hypertension icd11 ba00ba04,approved,d00036
insomnia icd11 7a007a0z,approved,d00037
malaria icd11 1f401f45,approved,d00038
major depressive disorder icd11 6a703,approved,d00039
breast cancer icd11 2c602c65,approved,d00040
pain icd11 mg30mg3z,approved,d00043
myocardial infarction icd11 ba41ba43,approved,d00043
cardiovascular disease icd11 ba00be2z,phase 3,d00043
allergic rhinitis icd11 ca080,withdrawn from market,d00044
hypertension icd11 ba00ba04,approved,d00045
organ transplant rejection icd11 ne84,approved,d00046
acne vulgaris icd11 ed80,approved,d00047
allergic conjunctivitis icd11 9a6002,approved,d00048
multiple sclerosis icd11 8a40,approved,d00049
fragile x syndrome icd11 ld55,phase 3,d00049
high blood pressure icd11 ba00,approved,d00050
gout icd11 fa25,approved,d00052
chronicstable angina icd11 ba401,approved,d00053
hypertension icd11 ba00ba04,approved,d00055
urinary retention icd11 mf503,approved,d00056
hypertension icd11 ba00ba04,approved,d00057
prostate cancer icd11 2c820,approved,d00058
parkinson disease icd11 8a000,approved,d00059
constipation icd11 dd911,approved,d00060
hypertension icd11 ba00ba04,approved,d00061
ocular hypertension icd11 9c6101,approved,d00062
glaucomaocular hypertension icd11 9c61,phase 3,d00062
panic attacks icd11 mb23h,approved,d00063
anxiety disorder icd11 6b006b0z,approved,d00063
congestive heart failure icd11 bd10,approved,d00064
anxiety disorder icd11 6b006b0z,approved,d00065
myeloproliferative syndrome icd11 2a22,approved,d00066
insomnia icd11 7a007a0z,approved,d00067
anxiety disorder icd11 6b006b0z,approved,d00068
headache icd11 8a808a84,approved,d00068
orthostatic hypotension icd11 ba21,approved,d00069
hypertension icd11 ba00ba04,approved,d00070
cystic fibrosis icd11 ca25,phase 2,d00071
vasomotorallergic rhinitis icd11 ca08,approved,d00075
musculoskeletal disorder icd11 fa00fc0z,approved,d00076
congestive heart failure icd11 bd10,approved,d00078
rheumatoid arthritis icd11 fa20,approved,d00079
pain icd11 mg30mg3z,phase 3,d00079
alcohol dependence icd11 6c402,approved,d00082
chronic lymphocytic leukaemia icd11 2a820,approved,d00083
anxiety disorder icd11 6b006b0z,approved,d00085
allergic rhinitis icd11 ca080,approved,d00086
schizophrenia icd11 6a20,approved,d00087
noninsulin dependent diabetes icd11 5a11,approved,d00088
edema icd11 mg29,approved,d00089
hypertension icd11 ba00ba04,approved,d00089
acute pain icd11 mg31,approved,d00090
intermittent claudication icd11 bd4000,approved,d00091
acidreflux disorder icd11 da22,approved,d00092
bacterial infection icd11 1a001c4z,approved,d00093
grampositive bacterial infection icd11 1b741g40,approved,d00093
cystic fibrosis icd11 ca25,phase 2,d00093
biliary cancer icd11 2e927,phase 1,d00093
depression icd11 6a706a7z,approved,d00094
irritable bowel syndrome icd11 dd910,approved,d00095
abdominal stomach pain icd11 dd914,approved,d00095
irritable bowel syndrome icd11 dd910,approved,d00095
abdominal stomach pain icd11 dd914,approved,d00095
irritable bowel syndrome icd11 dd910,approved,d01364
abdominal stomach pain icd11 dd914,approved,d01364
irritable bowel syndrome icd11 dd910,approved,d01364
abdominal stomach pain icd11 dd914,approved,d01364
crohn disease icd11 dd70,approved,d00097
