fhdi_drug_id,drug_name,synonyms,drug_type,summary,formula
d00001,polyethylene glycol,ethylene glycol ethane12diol 12ethanediol 107211 glycol monoethylene glycol 12dihydroxyethane 2hydroxyethanol glycol alcohol polyethylene glycol ethylene alcohol macrogol fridex tescol ethylene dihydrate norkool macrogol 400 bpc dowtherm sr 1 zerex ucar 17 lutrol9 ethyleneglycol ethanediol aethylenglykol polyethylene glycol 200 glycol ethylene 12ethandiol glycols polyethylene caswell no 441 ethylenglycol lutrol aethylenglykol german polyethylene glycol 600 146ar uniifc72kvt52f,small molecular drug,polyethylene glycol is a laxative used to treat constipation and used for bowel preparation before colonoscopies and other procedures,c2h6o2
d00002,betaine,cystadane,small molecular drug,betaine is a methyl group donor used for the treatment of homocystinuria to decrease elevated homocysteine blood levels,c5h11no2
d00003,activated charcoal,methane methane methyl hydride marsh gas biogas fire damp 74828 r 50 refrigerant methan metano 11cmethane hsdb 167 methane in gaseus state natural gas tetrahydridocarbon uniiop0uw79h66 un1972 un1971 13cmethane medicinal charcoal brn 1718732 ch4 einecs 2008127 biodiesels carbane op0uw79h66 chebi16183 methane12c vnwktokethgbqduhfffaoysan 150036832 r 50 ac1l18xa chembl17564 activated charcoal for gc 1034343980 ctk2h7747 molport018618244 kst1a1563 kst1a1445 ac1q2825 ar1a0497 ar1a0383  kremezin mp146 oral charcoal adsorbent kurehamitsubishi tanabeocera spherical adsorptive carbon microspheres kurehamitsubishiocera carbonaceous oral adsorbent ckd ibd ibs kurehamitsubishiocera activated charcoal pg50,small molecular drug,activated charcoal is a gastric decontamination agent used in emergency clinical settings as a antidote to treat poisonings following excessive oral ingestion of certain medications or poisons,ch4
d00004,coumarin,coumarin 2hchromen2one 91645 2h1benzopyran2one cumarin 12benzopyrone rattex tonka bean camphor coumarinic anhydride chromen2one coumarine benzoalphapyrone cisocoumarinic acid lactone ohydroxycinnamic acid lactone ohydroxycinnamic lactone 2oxo12benzopyran coumarinic lactone kumarin benzoapyrone kumarin czech 56benzo2pyrone 2h1benzopyran 2oxo 56benzoalphapyrone 2hbenzobpyran2one 2hbenzobpyran2one caswell no 259c ocoumaric acid lactone,small molecular drug,not specified,c9h6o2
d00005,salicylic acid,salicylic acid salicylic acid 2hydroxybenzoic acid 69727 ohydroxybenzoic acid 2carboxyphenol ocarboxyphenol salonil rutranex retarder w keralyt freezone duoplant saligel ionil psoriacidsstift salicylate stridex salicylic acid soap benzoic acid 2hydroxy salicylic acid collodion verrugon phenol2carboxylic acid acidum salicylicum transversal orthohydroxybenzoic acid 2hydroxybenzenecarboxylic acid acido salicilico ionilplus salicylic acid tech kyselina salicylova clear away wart remover duofil wart  domerine duofilm occlusal sax salicylate sebucare sebulex acido salicilico italian advanced pain relief callus removers advanced pain relief corn removers akurza cream akurza lotion dhs sal shampoo duoplant gel duofil wart remover hydrisalic gel ionil plus kyselina salicylova czech mediplast pads o hydroxybenzoic acid ortho hydroxybenzoic acid retarder sax salex cream salex lotion cmc13852 k 537 ata fraction 10 ammonium salt acid salicylic acido oidrossibenzoico acido oidrossibenzoico italian kyselina 2hydroxybenzoova kyselina 2hydroxybenzoova czech ocarboxyphenol ohydroxybenzoic acid orthohydroxybenzoic acid ps shampoo phenol derivative 7 propa ph peeloff acne mask salicylic acid see also alpha hydroxy acids salicylic acid acs salicylic acid  sulfur soap salicylic acid tn salicylic acid usanjan acid 2hydroxybenzoic acid ohydroxybenzoic acid orthohydroxybenzoic benzoic acid2hydroxy salicylic acid dr scholls callus removers dr scholls corn removers dr scholls wart remover kit salicylic acid 6ci8ci salicylic acid jp15usp alphabeta hydroxy acids glycolic acid salicylic acid salicylic acidringul14c alphabeta hydroxy acids salicylic acid see alphabeta hydroxy acids benzoic acid 2hydroxy9ci e9a559be383b4f83bc023031d03d558a 2 hydroxybenzoic acid 2hydroxy114cbenzoic acid salicylate,small molecular drug,salicylic acid is an acid used to treat acne psoriasis calluses corns keratosis pilaris and warts,c7h6o3
d00006,bupropion,bupropion amfebutamone 34911552 amfebutamon 2tertbutylamino13chlorophenylpropan1one amfebutamonum amfebutamona bupropion wellbatrin bupropion innban 34841399 elontril amfebutamonum innlatin zyban amfebutamona innspanish bupropion sr amfebutamone hcl alphatertbutylaminomchloropropiophenone chembl894 brn 2101062 13chlorophenyl211dimethylethylamino1propanone chebi3219 snppwiuozrmynyuhfffaoysan 13chlorophenyl211dimethylethylaminopropan1one  amfebutamon amfebutamonum elont bupropion hcl bupropion hydrocloride bupropion inn bupropion old rn bupropion usan alphatertbutylaminomchloropropiophenone alphatertbutylaminomchloropropiophenone 2tertbutylamino3chloropropiophenone 2tertbutylamino3chlorpropiophenon 1propanone 2tertbutylamino3chloropropiophenone,small molecular drug,bupropion is a norepinephrine and dopamine reuptake inhibitor used in the treatment of major depressive disorder mdd seasonal affective disorder sad and as an aid to smoking cessation,c13h18clno
d00007,aminocaproic acid,6aminohexanoic acid 6aminohexanoic acid 6aminocaproic acid aminocaproic acid 60322 amicar epsikapron caprocid capramol epsamon eaca caprolisin acepramin hemocaprol epsicapron respramin amikar epsilonaminocaproic acid hexanoic acid 6amino epsilcapramin aminokapron caplamin acepramine capracid hemopar ipsilon afibrin atsemin hepin epsilon s aminocaproic capralense epsilonleucine eacs epsilonnorleucine epsilcapramine 6aminonhexanoic acid omegaaminocaproic acid epsilonaminohexanoic acid 6aminohexanoic acid  acs amicar aminocaproate capranol caproamin epsicaprom epsilcapramine hemoparhepin acide aminocaproique acide aminocaproique french acide aminocaproque acido aminocaproico acidum aminocaproicum acidum aminocaproicum latin aminocaproic acid in plastic container aminocaproic acids aminohexanoic acid eaca kabi epsilon aminocaproic acid a 7824 cl 10304 cy 116 cy116 jd 177 acide aminocaproique innfrench acido aminocaproico dcitspanish acido aminocaproico innspanish acidum aminocaproicum innlatin amicar tn aminocaproic acid usp cl10304 cy116 epsilonahx epsilonaminocaproic acid epsilonaminocapronsaeure epsilonaminohexanoic acid epsilonleucine epsilonnorleucine epsilonaminocaproate epsilonaminocapronzuur fullevir tn kyselina omegaaminokapronova kyselina omegaaminokapronova czech omegaaminocaproic acid omegaaminohexanoic acid s040132 acid 6aminocaproic acid 6aminohexanoic acid epsilonaminocaproic aminocaproic acid uspinn aminocaproic acid usanbaninn aminocaproic acid usaninnban epsilonaminocaproic acid jan hexanoic acid6amino epsilonaminoncaproic acid epsilonaminonhexanoic acid amicar aamino caproic acid aahx 6aminohexanoic acid aminocaproic acid 6 aminocaproic acid 6 aminohexanoic acid 6aminoncaproate 6aminoncaproic acid 6aminohexanoate 6amino hexanoic acid,small molecular drug,aminocaproic acid is an antifibrinolytic agent used to induce clotting postoperatively,c6h13no2
d00008,lindane,aalindan aficide agrocide agronexit ameisenatod ameisentod aparasin aphtiria aphtitria aplidal arbitex bbh benhexachlor benhexol benzanex benzex bexol celanex chloresene codechine devoran dolmix entomoxan esoderm exagama forlin gallogama gamacarbatox gamacid gamacide gamaphex gamene gamiso gammahexa gammahexane gammalin gammasan gammaterr gammex gammexane gammopaz gamtox geobilan gexane gyben hch hcch heclotox hecoltox hexa hexablanc hexachlor hexachloran hexachlorane hexamul hexapoudre hexatox hexaverm hexcidum hexicide hexit hexyclan hilbeech hortex inexit isatox isotox jacutin kokotine kwell lasochron lendine lentox lidenal lindafor lindagam lindagrain lindagranox lindalo lindamul lindan lindano lindanum lindapoudre lindaterra lindatox lindex lindosep lintox linvur lorexane mszycol nexit nicochloran novigam novigan omnitox ovadziak owadziak plk pedraczak pflanzol quellada scabene silvanol streunex submar viton agrocide iii agrocide wp am eisenatod arcotal s bhcor hch borer spray dol granule eso derm gamma bhc hch bsi hch iso hilbeec h isot ox lacco hi lin lindam ul mglawik l new kotol nexen fb pms lindane sang gamma agrocide 2 agrocide6g agrocide 7 bentox 10 detox 25 gamacide 20 gammalin 20 geolin g 3 hungaria l7 latka 666 milbol 49 ps71supelco tap 85 agrisol g20 alphabhc alphahch benhex betabhc betahch betalindane betaisomer dbhc deltabhc deltahch ent 7796 ent 8601 ent 9232 ent 9233 ent 9234 epsilonhch forstnexen gammabhc gammahch gammacol hch alpha hch beta kwell tn kwellr nexenfb nexi tstark nexitstark nexole sanggamma thch tri6 trivest,small molecular drug,lindane is an ectoparasiticide and ovicide used in the treatment of pediculosis humanis capitis head lice and phthirus pubis crab lice,c6h6cl6
d00009,ardeparin,arteven bemiparin certoparin clivarine dalteparin eparina fluxum fraxiparin heparina heparinate heparine heparinum hepathrom innohep liquaemin liquemin logiparin multiparin nadroparin nadroparine novoheparin pabyrin parnaparin parvoparin pularin sandoparin subeparin sublingula thromboliquine tinzaparin triofiban vetren allocinnamic acid ardeparin sodium bemiparin sodium enoxaparin sodium eparina dcit fragmin a fragmin b fragmin iv hep flush kit in plastic container heparin lock flush in plastic container heparin lock flush preservative free heparin lock flush preservative free in plastic container heparin natrium heparin sulfate heparinic acid heparinum natricum isocinnamic acid minolteparin sodium parnaparin sodium reviparin sodium sodium acid heparin sodium heparinate tinzaparin sodium vitrum ab cy 216 cy 222 fr 860 h 2149 heparin cy 216 kb 101 kabi 2165 lhn 1 lioton 1000 op 386 op 622 ro 11 wy 90493rd alfa 87120 alfa 87163 alfa 87198 alfa 8781 alfa 88247 alphaheparin ciscinnamic acid depoheparin hedheparin heplock heparin sodium salt heparina innspanish heparine innfrench heparinum innlatin hepflush10 innohep normiflo tn heplock up cisbetacarboxystyrene,small molecular drug,ardeparin marketed under the us trade name normiflo is a low molecular weight heparin lmwh anticoagulant used for the prevention of postoperative venous thrombosis ardeparin is derived via peroxide degradation of heparin extracted from porcine intestinal mucosa,c26h42n2o37s5
d00010,melatonin,73314 melatonine nacetyl5methoxytryptamine circadin 5methoxynacetyltryptamine n25methoxy1hindol3ylethylacetamide n25methoxy1hindol3ylethylacetamide melatol melovine melatonex n25methoxyindol3ylethylacetamide acetamide n25methoxy1hindol3ylethyl uniijl5dk93rcl n25methoxyindol3ylethylacetamide nacetyl5methoxytryptamine nsc 113928 ccris 3472 chembl45 einecs 2007977 jl5dk93rcl acetamide n25methoxyindol3ylethyl brn 0205542  circadin melapure melatonina posidorm vivitas night rest pineal hormone revital melatonin rx balance sleep right in1244 m 5250 m1105 ml1 mt6 tnp00300 m1200 m1250 melat melatonex melatonin melatonina tn nmr14327425 natures harmony prevention 2 melatonin prevention 3 melatonin prevention 4 melatonin prevention 5 melatonin prevention 1 melatonin prevention 1 acetamide n25methoxyindol3ylethyl acetamide n25methoxyindol3ylethyl6ci8ci n25methoxy1hindol3ylethylacetamide acetamide n25methoxy1hindol3ylethyl9ci acetamide n25methoxy1hindol3ylethyl acetamide n25methoxy1hindol3ylethyl9ci 4acetamido4isothiocyanatostilbene22disulfonic acid 3hmelatonin n25methoxy1hindol3ylethylacetamide,small molecular drug,melatonin is an endogenous hormone produced by the pineal gland that regulates sleepwake cycles and when provided exogenously has beneficial effects on sleeponset latency available as an overthecounter supplement,c13h16n2o2
