fhdi_food_id,food_name,scientific_name,common_name,description,group,subgroup,drug_homologous_food
f00001,pomegranate,punica granatum,granatum punicumpunica floridapunica grandiflorapunica nanapunica spinosarhoea punica,the pomegranate scientific name punica granatum is a fruitbearing deciduous shrub or small tree growing between 58 metres tall pomegranates are used in cooking baking juices smoothies and alcoholic beverages such as martinis and wine,fruits,tropical fruits,not specified
f00002,atlantic herring,clupea harengus harengus,not specified,atlantic herring clupea harengus is a herring in the family clupeidae it is one of the most abundant fish species on earth atlantic herrings can be found on both sides of the atlantic ocean congregating in large schools,aquatic foods,fishes,not specified
f00003,pacific herring,clupea pallasii,not specified,the pacific herring clupea pallasii is a species of the herring family associated with the pacific ocean environment of north america and northeast asia it is a silvery fish with unspined fins and a deeply forked caudal fin,aquatic foods,fishes,not specified
f00004,lowfat lowcalcium meal,not specified,not specified,lowfat lowcalcium meal refers to a diet with low fat ratio and low calcium content,food combination,lowfat meal,not specified
f00005,tamarind,tamarindus indica,cavaraeacavaraea eleganstamarindus erythraeustamarindus occidentalistamarindus officinalistamarindus somalensistamarindus umbrosa,tamarind tamarindus indica is a leguminous tree in the family fabaceae indigenous to tropical africa the genus tamarindus is a monotypic taxon having only a single species the tamarind tree produces edible podlike fruit which are used extensively in cuisines around the world other uses include traditional medicines and metal polishes the wood can be used in carpentry because of the tamarinds many uses cultivation has spread around the world in tropical and subtropical zones,fruits,tropical fruits,not specified
f00006,anchovy,engraulidae,not specified,anchovies are a family engraulidae of small common saltwater forage fish there are 144 species in 17 genera found in the atlantic indian and pacific oceans anchovies are usually classified as an oily fish,aquatic foods,fishes,not specified
f00007,european anchovy,engraulis encrasicolus,not specified,the european anchovy engraulis encrasicolus is a forage fish somewhat related to the herring,aquatic foods,fishes,not specified
f00008,mango,mangifera indica,not specified,the mango is a fleshy stone fruit belonging to the genus mangifera consisting of numerous tropical fruiting trees in the flowering plant family anacardiaceae the mango is native to south asia from where it has been distributed worldwide to become one of the most cultivated fruits in the tropics while other mangifera species eg horse mango m foetida are also grown on a more localized basis mangifera indica  the common mango or indian mango  is the only mango tree commonly cultivated in many tropical and subtropical regions it is the national fruit of india philippines and pakistan in several cultures its fruit and leaves are ritually used as floral decorations at weddings public celebrations and religious ceremonies,fruits,tropical fruits,not specified
f00009,star fruit,averrhoa carambola,balimbingbelimbingma fenkamarangaomuzabibucarambolocarambolayang taoma fuenggolden starstar kingthayer,averrhoa carambola is a species of woody plant in the family oxalidaceae it has a number of common names including carambola and starfruit,fruits,tropical fruits,not specified
f00010,cottonseed,gossypium,not specified,cottonseed is the seed of the cotton plant gossypium the mature seeds are brown ovoids weighing about a tenth of a gram,spices,oilseed crops,not specified
f00011,fenugreek,trigonella foenumgraecum,aloo methiblue fenugreek,fenugreek trigonella foenumgraecum is an annual plant in the family fabaceae with leaves consisting of three small obovate to oblong leaflets fenugreek is used as a herb dried or fresh leaves spice seeds and vegetable fresh leaves sprouts and microgreens,pulses,beans,not specified
f00012,pepper,piper nigrum,not specified,black pepper piper nigrum is a flowering vine in the family piperaceae cultivated for its fruit which is usually dried and used as a spice and seasoning,spices,spices,pepper is one of the commonly used seasonings and can be processed into pepper powder eastern spices were one of the most expensive items of the middle ages
f00013,american cranberry,vaccinium macrocarpon,not specified,vaccinium macrocarpon also called large cranberry american cranberry and bearberry is a cranberry of the subgenus oxycoccus and genus vaccinium,fruits,berries,not specified
f00014,european cranberry,vaccinium oxycoccos,not specified,vaccinium oxycoccos is a species of flowering plant in the heath family it is known by the common names small cranberry bog cranberry and swamp cranberry it is native to northern north america europe and asia,fruits,berries,not specified
f00015,turmeric,curcuma longa,not specified,turmeric curcuma longa is a rhizomatous herbaceous perennial plant of the ginger family zingiberaceae,spices,spices,turmeric root powder used as a cooking seasoning especially in curry
f00016,yogurt,not specified,not specified,yogurt yoghurt or yoghourt is a fermented milk product produced by bacterial fermentation of milk,milk and milk products,fermented milk products,not specified
f00017,clementine,citrus  clementina,not specified,clementine or easy peeler british english is a tangor a citrus fruit hybrid between a willowleaf mandarin orange and a sweet orange named for its late 19thcentury discoverer,fruits,citrus,not specified
f00018,spinach,spinacia oleracea,not specified,spinach spinacia oleracea is an edible flowering plant in the family of amaranthaceae it is native to central and southwestern asia,vegetables,leaf vegetables,not specified
f00019,grape,vitis,not specified,a grape is a fruiting berry of the deciduous woody vines of the botanical genus vitis grapes can be eaten raw or they can be used for making wine jam juice jelly grape seed extract raisins vinegar and grape seed oil,fruits,berries,not specified
f00020,banana,musa acuminata,not specified,a banana is an edible fruit produced by several kinds of large herbaceous flowering plants in the genus musa,fruits,tropical fruits,not specified
f00021,lime,citrus aurantiifolia,not specified,the key lime citrus  aurantiifolia is a citrus species with a globose fruit 255 cm in diameter 12 in that is yellow when ripe but usually picked green commercially,fruits,citrus,not specified
f00022,red wine,not specified,not specified,red wine is a type of wine made from darkcolored black grape varieties the actual color of the wine can range from intense violet typical of young wines through to brick red for mature wines and brown for older red wines,beverages,fermented beverages,not specified
f00023,chocolate,not specified,not specified,chocolate is a range of products derived from cocoa mixed with fat ie cocoa butter andor plant oils and finely powdered sugar to produce a solid confection,cocoa and cocoa products,cocoa products,not specified
f00024,milk cow,not specified,not specified,as an agricultural product milk is extracted from mammals during or soon after pregnancy and used as food for humans,milk and milk products,unfermented milks,not specified
f00025,potato,solanum tuberosum,not specified,the potato is a starchy tuberous crop from the perennial solanum tuberosum of the solanaceae family also known as the nightshades the word may refer to the plant itself as well as the edible tuber,vegetables,tubers,not specified
f00026,garden tomato,solanum lycopersicum,not specified,the tomato is the edible often red fruitberry of the nightshade solanum lycopersicum commonly known as a tomato plant,vegetables,fruit vegetables,not specified
