fhdi_herb_id,herb_latin_name,herb_english_name,herb_pinyin_name,herb_chinese_name,properties,function ,indication,therapeutic_class
h00001,acacia nilotica,gumarabic tree,a la bo jiao jin he huan,,not specified,not specified,not specified,not specified
h00002,acacia arabica,arabian acacia,a la bo jin he huan,,not specified,not specified,not specified,not specified
h00004,ferula assafoetida,asafetida giantfennel resin,a wei,,warm pungent bitter,to transform concretion and disperse accumulation kill worms interrupt malaria,concretion and conglomeration lump glomus worm accumulation meattype food accumulation cold pain in heart and abdomen malaria dysentery,food digestion
h00005,ardisiae japonicae,japanese ardisia herb,ai di cha,,mild pungent bitter,1 to eliminate phlegm and relieving cough2 to promote diuresis to deprive dampness 3 to activate blood circulation and stop bleeding,1 bergenin an active comonent is an expectorant 2 its volatile oil or flavone can relieve bronchospasm induced by histamine in vitro 3 its decoction inhibits the growth of pneumococcus staphylococcus aureus and influenza virus in vitro,antitussive antiasthmetics
h00006,ephedra minuta,small ephedra,ai ma huang,,not specified,see ephedra sinica,see ephedra sinica,not specified
h00007,folium artemisiae argyi,leaf of argy wormwood,ai ye,,warm pungent bitter,1 to warm the channels and stop bleeding 2 to dispel cold and stop pain,cold pain in abdomen menstrual disorder due to cold infertility due to uterus cold blood ejection spontaneous external bleeding flooding and spotting fetal spotting itchy skin,channelwarming hemostatic
h00008,phyllanthus emblica,emblic leafflower,an mo le,,not specified,to relieve cough and transform phlegm engender liquid and allay thirst resolve toxin,common cold with fever cough throat pain diphtheria enteritis diarrhea eczema heat vexation and thirst,not specified
h00009,benzoinum,benzoin,an xi xiang,,mild pungent bitter,to restore consciousness to activate the flow of qi and blood to relieve pain,sudden stroke and fulminant reversal pain in heart and abdomen postpartum blood dizziness child fright epilepsy wind impediment and lumbago,resuscitative stimulant resuscitative medicinal
h00010,eucalyptus globulus,eucalyptus oil,an you,,not specified,skin irritant used in nerval pain,skin irritant used in nerval pain,not specified
h00011,magnolia biloba,twolobed officinal mangolia,ao ye hou po,,not specified,see magnolia officinalis ,see magnolia officinalis,not specified
h00012,croton tiglium l,fructus crotonis,ba dou,,hot pungent,1 to drain accumulated cold downward 2 to transform water and reduce edema 3 to resolve phlegm and benefit throat,distention fullness and sudden pain in chest and a bdomen fecal stoppage diarrhea and dysentery edema and enlarged abdomen phlegmrheum asthma fullness throat wind throat impediment concretion and conglomeration welling abscess and flat abscess malign sore and scab lichen,offensive purgative medicinal
h00013,radix morindae officinalis,root of morinda officinalis,ba ji,,minor warm pungent sweet,1 treatment of deficient kidney yang manifested as soreness and weakness in the lower back and knees impotence premature ejaculation infertility frigidity irregular menstruation and cold sensation and pain in the lower abdomen a morinda root bajitian is used with ginseng renshen cistanche roucongrong and dadder seed tusizi for impotence premature ejaculation and infertility b morinda root bajitian is used with teasel root xuduan and eucommia bark duzhong for soreness and weakness in lower back and knees c morinda root bajitian is used with cinnamon bark rougui galangal rhizome gaoliangjiang and evodia fruit wuzhuyu for irregular menstruation 2 morinda root bajitian is used with teasel root xuduan mulberry mistletoe sangjisheng and hypoglauca yam bixie for cold sensation and pain in the lumbar region and knees or motor impairment,treatment of impotence seminal emission infertility menstrual disorders pain and cold feeling in the lower abdomen rheumatic arthralgia limpness of the legs,for tonifying weakness
h00014,not specified,morindae officilis radix,ba ji tian,,not specified,not specified,neurasthenia impotence and emission cold pain in abdomen urinary incontinence vacuity cold of uterus windcolddamp impediment aching in lumbus and knees,yang reinforcing drugs
h00015,fructus anisi stellati,chinese star anise,ba jiao hui xiang,,warm pungent,to dispel cold to regulate the flow of qi and to relieve pain,treatment of abdominal colic lumbago due to deficiency of the kidney vomiting and eqigastric pain due to cold of the stomach,warming interior drugs
h00016,dysosma versipellis,dysosmae verspiellis rhixoma et radix,ba jiao lian,,not specified,not specified,not specified,antipyretic detoxicate drugs
h00017,ilex paraguariensis,paraguay tea,ba la gui cha,,not specified,to clear heat and resolve toxin eliminate inflammation suppress cough and dispel phlegm promote contraction disinhibit urine free stool induce sweat5509,rheumatis scurvy heart disease stomach disease diabetes5509,not specified
h00018,paullinia cupana,guarana,ba xi xiang wu huan zi,,not specified,not specified,not specified,not specified
h00019,galium aparine,catchweed bedstraw,ba xian cao,,not specified,to clear damp heat dissipate stasis disperse swelling resolve toxin,stranguryturbidity hematuria knocks and falls intestinal welling abscess swollen boil otitis media,not specified
h00020,semen lablab album,white hyacinth bean,bai bian dou,,minor warm sweet,to invigorate the spleen and remove damp paticularly the summer dampsemen lablab album stirfried to invigorate the spleen and remove damp,treatment of weakness of the spleen and stomach with loss of appetite and loose bowels excessive leukorrhea vomiting diarrhea distress in the chest and distension in the abdomen caused by summerdampsemen lablab album stirfried diarrhea and excess,qi reinforcing drugs
h00021,acorus calamus,drug sweetflag,bai chang,,not specified,to transform phlegm and open orifices dispel damp and fortify stomach kill worms and relieve itch,stupor due to phlegm reversal wind stroke epilepsy fright palpitation and amnesia tinnitus and deafness food accumulation abdominal pain diarrhea and dysentery winddamp pain eczema scab sore,not specified
h00022,nitraria tangutorum,nitraria,bai ci,,not specified,to fortify spleen and assisting movement promote lactation quiet spirit,reduced food intake due to spleen vacuity indigestion scant breast milk neurasthenia,not specified
h00023,sophora viciifolia,vetchleaf sophora,bai ci hua,,not specified,to clear heat and disinhibit throat cool blood and disperse swelling,swelling pain in throat cough hepatitis dysentery strangury syndrome edema hematuria nosebleedepistaxis hematochezia,not specified
h00024,rhizoma typhonii,rhizome of giant typhonium,bai fu zi,,warm pungent sweet,to dispel windphlegm to check convulsions and to counteract toxicity promote subsidence of modulation and relieve pain,treatment of stroke with gurgling in the throat deviation of the eye and the mouth and impairment of speech upward invasion of phlegm causing headache accompanied with dizziness heaviness of the body restlessness fidgetness nausea and cold extremit,phlegresolving medicine
h00025,semen ginkgo,ginkgo seed,bai guo,,mild sweet bitter punkery,1 to strengthen lung qi and soothe asthma 2 to relieve leukorrhea,ad syndrome primary degenerative dementia of alzheimer disease multiinfarct dementia improving cognitive function in elderly dementia patients stable intermittent claudication cerebrovascular insufficiency diseases cough with profuse phlegm vaginal discharge enuresis and frequent urination,antitussive antiasthmetics
h00026,lithospermum officinale,common gromwell,bai guo zi cao,,not specified,to resolve toxin and disperse swelling,arthritis,not specified
